id,FOLIO,id,TIPO DE EVENTO,HOMOLOGACIÓN_TIPO DE EVENTO,TIPO DE EVENTO 2,FECHA EVENTO,HORA RECEPCION,HORA DESPACHO,HORA ARRIBO,ZONA,SECTOR,CUADRANTE,ALCALDÍA,LATITUD Y,LONGITUD X,CARPETA DE INVESTIGACION,ORIGEN,MOVIL,CAUSA,FALLECIDOS,LESIONADOS,DETENIDOS,ARMA DE FUEGO INVOLUCRADA,CALIBRE ARMA DE FUEGO,ARMA DE BLANCA INVOLUCRADA,LUGAR LOCALIZACION CADAVER,AUTOMOVIL INVOLUCRADO,MOTOCICLETA INVOLUDRADA,DROGAS INVOLUDRADAS,OBSERVACIONES
52,C5/20220919/07810,52,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,19/09/2022,22:17:12,22:17:55,22:19:00,ZONA NORTE,ARENAL,N-3.1.1,VENUSTIANO CARRANZA,19.43009123,-99.05346426,CI-FIVC/VC-5/UI-1S/D/00090/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,1,,,NO,NA,NO,DOMICILIO,NO,NO,NO,
53,C5/20220920/05134,53,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,20/09/2022,22:51:21,22:51:30,22:54:38,ZONA CENTRO,TLATELOLCO,C-1.8.4,CUAUHTÉMOC,19.455,-99.1432,CI-FEIDF/D/UI-3S/D/00224/09-2022,LLAMADA DEL 911,RIÑA,LESIÓN POR GOLPES,1,,2,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
54,C5/20220922/03825,54,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,22/09/2022,13:42:07,13:48:11,13:48:39,ZONA NORTE,MERCED BALBUENA,N-3.4.10,VENUSTIANO CARRANZA,19.416918,-99.122298,CI-FIEDH/2/UI-1C/D/00314/09-2022,RADIO,VIOLENCIA FAMILIAR,LESIÓN POR GOLPES,1,,1,NO,NA,SI,DOMICILIO,NO,NO,NO,
55,C5/20220923/05497,55,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,23/09/2022,22:04:41,22:05:27,22:07:21,ZONA ORIENTE,TEZONCO,O-1.9.11,IZTAPALAPA,19.34417,-99.06362,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,NO ESPECIFICADO,NO,NO,NO,
56,C5/20220923/00786,56,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,23/09/2022,05:49:26,05:49:37,05:52:52,ZONA SUR,PADIERNA,S-4.4.3,TLALPAN,19.2919,-99.2365,CI-FIEDH/2/UI-1C/D/00316/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,1,,1,NO,NA,SI,DOMICILIO,NO,NO,NO,
57,C5/20220923/00709,57,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,23/09/2022,04:34:36,04:34:56,04:38:58,ZONA ORIENTE,OASIS,O-1.5.13,IZTAPALAPA,19.367728,-99.026343,CI-FIEDH/2/UI-1C/D/00315//09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,1,,1,NO,NA,SI,DOMICILIO,NO,NO,SI,
58,C5/20220924/02602,58,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,24/09/2022,12:51:40,12:51:50,12:56:13,ZONA ORIENTE,TEPEPAN,O-4.2.4,XOCHIMILCO,19.250877,-99.083547,CI-FIEDH/1/UI-1 C/D/00317/09-2022,RADIO,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,3,,,NO,NA,SI,DOMICILIO,NO,NO,NO,
59,C5/20220924/02525,59,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,24/09/2022,12:37:05,12:37:24,12:40:45,ZONA NORTE,QUIROGA,N-1.6.8,GUSTAVO A. MADERO,19.495874,-99.1156,CI-FEIDF/D/UI-1S/D/00228/09-2022,RADIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,SI,NO,SE LE DÍO CONOCIMIENTO A LA FISCALÍA DE INVESTIGACIÓN CRIMINAL DE FEMINICIDIOS.
60,C5/20220925/06058,60,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,25/09/2022,22:05:31,22:05:57,22:08:24,ZONA PONIENTE,SANTA FE,S-4.4.3,ÁLVARO OBREGÓN,19.37246,-99.24004,CI-FIEDH/2/UI-1C/D/00319/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA DE FUEGO,1,,1,SI,.9MM,NO,VIA PUBLICA,SI,NO,NO,
61,C2P/20220925/00150,61,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,25/09/2022,21:04:34,21:04:54,21:06:52,ZONA PONIENTE,TACUBA,P-4.4.3,MIGUEL HIDALGO,19.45448,-99.20655,CI-FIEDH/2/UI-1C/D/00318/09-2022,BOTÓN DE AUXILIO,AGRESION DIRECTA,LESIÓN POR ARMA DE FUEGO,1,,1,SI,.9MM,NO,VIA PUBLICA,NO,SI,NO,
62,C5/20220926/04151,62,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,26/09/2022,19:05:26,19:05:50,19:07:32,ZONA SUR,UNIVERSIDAD,S-2.4.7,COYOACÁN,19.3290683,-99.1640983,CI-FIEDH/2/UI-1C/D/00321/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
63,C2O/20220926/00016,63,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,26/09/2022,01:21:57,01:22:42,01:25:40,ZONA ORIENTE,OASIS,0-1.5.10,IZTAPALAPA,19.36804,-98.99835,CI-FIEDH/2/UI-1C/D/00320/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA DE FUEGO,1,,,SI,.40MM,NO,VIA PUBLICA,NO,NO,NO,
64,C5/20220927/00324,64,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,27/09/2022,03:04:59,03:04:59,03:09:12,ZONA NORTE,IZTACCÍHUATL,N-2.1.8,IZTACALCO,19.390773,-99.116537,CI-FIEDH/2/UI-1C/D/00322/09-2022,LLAMADA DEL 911,RIÑA,LESIÓN POR ARMA DE FUEGO,1,1,,SI,.9MM,NO,VIA PUBLICA,SI,SI,NO,
65,C5/20220928/01446,65,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,28/09/2022,12:11:50,12:13:54,12:17:33,ZONA SUR,HUIPULCO HOSPITALES,S-4.3.10,TLALPAN,19.270183,-99.152441,CI-FIEDH/2/UI-1C/D/00323/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,2,1,3,SI,.25MM,NO,VIA PUBLICA,SI,SI,SI,
66,C5/20220928/00977,66,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,28/09/2022,09:35:34,09:36:26,09:38:58,ZONA NORTE,CUAUTEPEC,N-1.2.19,GUSTAVO A. MADERO,19.54278,-99.13203,CI-FIEDH/2/UI-1C/D/00324/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,ETIOLOGIA A DETERMINAR,3,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,DOMICILIO,NO,NO,NO,
67,C2O/20220928/00142,67,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,28/09/2022,17:57:17,17:57:25,18:01:15,ZONA ORIENTE,TEZONCO,O-1.9.5,IZTAPALAPA,19.32588,-99.05715,CI-FIIZP/IZP-8/UI-2C/D/02412/09-2022,BOTÓN DE AUXILIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,HOSPITAL,SI,NO,NO,
68,C5/20220929/00841,68,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,29/09/2022,08:47:31,08:47:42,08:48:04,ZONA NORTE,CUACUTEPEC,N-1.2.21,GUSTAVO A. MADERO,19.53069,-99.13096,CI-FIEDH/2/UI-1C/D/00325/09-2022,LLAMADA DEL 911,RIÑA,LESIÓN POR GOLPES,1,,1,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
69,C5/20220930/01886,69,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,30/09/2022,13:01:11,13:04:06,13:06:53,ZONA NORTE,TEPEYAC,N-1.7.5,GUSTAVO A. MADERO,19.471667,-99.13143,CI-FEIDF/D/UI-1S/D/00234/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR GOLPES,1,,1,NO,NA,NO,DOMICILIO,NO,NO,NO,TOMÓ CONOCIMIENTO LA FISCALÍA ESPECIALIZADA PARA LA INVESTIGACIÓN DEL DELITO DE FEMINICIDIO
70,C5/20220930/01471,70,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/09/2022,11:13:38,11:14:39,11:19:47,ZONA NORTE,TEPEYAC,N-1.7.5,GUSTAVO A. MADERO,19.478553,-99.129153,CI-FEIDF/D/UI-1S/D/00233/09-2022,LLAMADA DEL 911,VIOLENCIA FAMILIAR,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,.380MM,NO,DOMICILIO,SI,NO,NO,TOMÓ CONOCIMIENTO LA FISCALÍA ESPECIALIZADA PARA LA INVESTIGACIÓN DEL DELITO DE FEMINICIDIO
71,C5/20220930/00725,71,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,30/09/2022,06:19:38,06:20:15,06:21:57,ZONA PONIENTE,SANTA FE,P-1.4.4,ÁLVARO OBREGÓN,19.379014,-99.221963,CI-FEIDF/D/UI-1S/D/00232/09-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR GOLPES,1,,1,NO,NA,NO,VIA PUBLICA,NO,NO,SI,TOMÓ CONOCIMIENTO LA FISCALÍA ESPECIALIZADA PARA LA INVESTIGACIÓN DEL DELITO DE FEMINICIDIO
72,C5/20221001/00829,72,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,01/10/2022,02:40:04,02:40:22,02:41:25,ZONA PONIENTE,SANTA FÉ,P-1.4.1,ÁLVARO OBREGÓN,19.37886,-99.248074,CI-FIEDH/2/UI-1C/D/00326/10-2022,LLAMADA DEL 911,RIÑA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
73,C2O/20221001/00105,73,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,01/10/2022,13:19:02,13:19:12,13:20:55,ZONA ORIENTE,OASIS,O.1.5.8,IZTAPALAPA,19.37325,-99.00945,CI-FEIDF/D/UI-2S/D/00235/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,NO,NO,
74,C5/20221002/01222,74,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,02/10/2022,02:50:19,02:50:58,02:55:23,ZONA ORIENTE,QUETZAL,O-1.6.10,IZTAPALAPA,19.31641255,-99.04810386,CI-FIIZP/IZP-8/UI-2C/D/02450/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,HOSPITAL,SI,NO,NO,
75,C2P/20221002/00071,75,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,02/10/2022,15:18:07,15:18:16,15:21:20,ZONA PONIENTE,SANTA FÉ,O-1.6.10,ÁLVARO OBREGÓN,19.37526,-99.23718,CI-FIEDH/2/UI-1C/D/00327/10-2022,BOTÓN DE AUXILIO,RIÑA,LESIÓN POR ARMA DE FUEGO,1,,1,SI,.9MM,NO,VIA PUBLICA,NO,NO,NO,
76,C5/20221003/04049,76,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,03/10/2022,20:02:29,20:02:41,20:03:56,ZONA PONIENTE,SOTELO,P-4.4.6,MIGUEL HIDALGO,19.45118,-99.196589,CI-FEIDF/D/UI-1S/D/00238/10-2022,LLAMADA DEL 911,PASIONAL,LESIÓN POR ARMA BLANCA,1,,1,NO,NA,SI,DOMICILIO,NO,NO,NO,
77,C5/20221003/03844,77,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,03/10/2022,19:31:33,19:32:13,19:35:44,ZONA ORIENTE,LA NORIA,O-4.1.1,XOCHIMILCO,19.26606,-99.115367,CI-FIEDH/2/UI-1C/D/00330/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,.380MM,NO,VIA PUBLICA,NO,SI,NO,
78,C5/20221003/02487,78,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,03/10/2022,14:38:36,14:38:47,15:15:09,ZONA SUR,UNIVERSIDAD,S.2.4.9,COYOACÁN,19.316901,-99.16774,CI-FIEDH/2/UI-1C/D/00329/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
79,C5/20221003/01884,79,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,03/10/2022,11:59:34,11:59:43,12:06:09,ZONA PONIENTE,ALPES,P.1.1.7,ÁLVARO OBREGÓN,19.33321,-99.26908,CI-FIEDH/2/UI-1C/D00328/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESION POR ARMA PUNZO CORTANTE,1,,,NO,NA,SI,BARRANCA,NO,NO,NO,
80,C5/20221003/00223,80,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,03/10/2022,00:42:57,00:43:12,00:45:21,ZONA NORTE,ARAGÓN,N-1.1.1,GUSTAVO A. MADERO,19.471371,-99.085533,CI-FIGAM/UAT-GAM-2/UI-1S/D/02943/10-2022,LLAMADA DEL 911,RIÑA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,8,,SI,.9MM,NO,HOSPITAL,NO,NO,NO,
81,C5/20221002/06361,81,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,02/10/2022,22:47:45,22:47:53,22:50:55,ZONA SUR,HUIPULCO HOSPITALES,S-4.3.10,TLALPAN,19.269064,-99.156159,CFEIDF/D/UI-3S/D/00237/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,,SI,.380MM ,NO,VEHÍCULO,SI,SI,NO,
82,C5/20221004/00076,82,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,04/10/2022,00:21:06,00:21:58,00:25:37,ZONA ORIENTE,MIXQUIC,O-3.1.3,TLÁHUAC,19.2956506,-99.0155949,CI-FIEDH/2/UI-1C/D/00331/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,NO,NO,
83,C5/20221005/02099,83,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,05/10/2022,14:27:49,14:27:56,14:31:52,ZONA NORTE,CUAUTEPEC,N-1.2.19,GUSTAVO A. MADERO,19.538449,-99.1361,CI-FIEDH/2/UI-1C/D/00332/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,1,,SI,.9MM,NO,VIA PUBLICA,NO,NO,SI,
84,C5/20221006/01755,84,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,06/10/2022,13:00:49,13:00:58,13:01:14,ZONA ORIENTE,TECOMITL,O-2.2.1,MILPA ALTA,19.21528397,-98.9794806,CI-FIEDH/2/UI-1C/D/00333/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,3,1,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
85,C5/20221007/02673,85,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,07/10/2022,16:42:52,16:43:01,17:04:46,ZONA ORIENTE,OASIS,O.1.5.10,IZTAPALAPA,19.366715,-98.998533,CI-FIEDH/2/UI-1C/D/00335/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,3,SI,.9MM,NO,VEHÍCULO,SI,NO,NO,
86,C5/20221007/00415,86,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,07/10/2022,04:00:47,04:00:47,04:02:43,ZONA ORIENTE,MIXQUIC,O-2.2.2,TLÁHUAC,19.2281,-99.00011,CI-FIEDH/2/UI-1C/D/00334/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR ARMA BLANCA,1,,,NO,NA,SI,VIA PUBLICA,NO,NO,NO,
87,C5/20221008/00461,87,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,08/10/2022,01:35:35,01:35:55,01:38:57,ZONA ORIENTE,OASIS,O-1.5.5,IZTAPALAPA,19.384253,-99.032631,CI/FIEDH/2/UI-1C/D/00336/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,MUERTE POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,NEGOCIO (OTRO),NO,NO,NO,
88,C5/20221009/01482,88,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,09/10/2022,03:55:15,03:55:28,03:55:30,ZONA PONIENTE,SANTA FE,P-1.4.1,ÁLVARO OBREGÓN,19.377163,-99.244524,CI-FIEDH/2/UI-1C/D/00338/10-2022,LLAMADA DEL 911,RIÑA,LESION POR GOLPES,1,,2,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
89,C5/20221009/01032,89,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,09/10/2022,02:36:51,02:37:09,02:40:28,ZONA ORIENTE,QUETZAL,O-1.6.8,IZTAPALAPA,19.3260276,-99.0342002,CI-FIEDH/2/UI-1C/D/00337/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,2,,,SI,.9MM,NO,VIA PUBLICA,NO,SI,NO,
90,C5/20221010/03988,90,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,10/10/2022,21:57:47,21:58:22,22:01:44,ZONA ORIENTE,QUETZAL,O-1.6.10,IZTAPALAPA,19.3146734,-99.048213,CI-FIIZP/IZP-8/UI-2C/D/2554/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,HOSPITAL,NO,NO,NO,
91,C5/20221010/036601,91,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,10/10/2022,20:39:43,20:40:03,20:42:52,ZONA SUR,CULHUACAN,S-2.2.6,COYOACÁN,19.3117489,-99.107749,CI-FIEDH/2/UI-1C/D/00339/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
92,C2N/20221010/00156,92,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,10/10/2022,21:47:31,21:48:11,21:50:20,ZONA NORTE,TLACOTAL,N-2.3.8,IZTACALCO,19.387983,-99.109758,CI-FIEDH/2/UI-1C/D/00340/10-2022,RADIO,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,NO,NO,
93,C5/20221012/04503,93,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,12/10/2022,22:20:45,22:21:17,22:21:53,ZONA ORIENTE,MILPA ALTA,O-2.1.3,MILPA ALTA,19.18653602,-99.0738955,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,SI,NO,NO,
94,C5/20221012/01924,94,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,12/10/2022,13:38:49,13:39:06,13:42:07,ZONA PONIENTE,SOTELO,P-4.3.6,MIGUEL HIDALGO,19.449705,-99.192324,CI-FIEDH/2/UI 1C/D/00341/10-2022,LLAMADA DEL 911,BALA PERDIDA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,1,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,SI,NO,
95,C5/20221012/00225,95,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,12/10/2022,01:38:12,01:38:36,01:41:31,ZONA ORIENTE,MILPA ALTA,O-2.1.3,MILPA ALTA,19.188337,-99.068441,CI-FEIDF/D/UI-3S/D/00245/10-2022,LLAMADA DEL 911,PASIONAL,LESIONES POR GOLPES Y ESTRANGULAMIENTO,1,,,NO,NA,NO,VIA PUBLICA,NO,NO,NO,SE REALIZÓ LA DETENCIÓN DE AMBOS MASCULINOS Y FUERON TRASLADADOS A LA AGENCIA ESPECIALIZADA EN FEMINICIDIO
96,C5/20221013/01749,96,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,13/10/2022,13:07:03,13:07:15,13:10:05,ZONA SUR,TOPILEJO,S-4.5.5,TLALPAN,19.209907,-99.171428,CI-FIEDH/2/UI-1C/D/00342/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,ETIOLOGIA A DETERMINAR CON SIGNOS DE VIOLENCIA,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,ZONA BOSCOSA/PARAJE,NO,NO,NO,
97,C5/20221016/05781,97,HALLAZGO DE CADÁVER,HALLAZGO DE CADÁVER,HOMICIDIO OTROS,16/10/2022,20:11:21,20:11:28,20:11:33,ZONA ORIENTE,OASIS,O-1.5.6,IZTAPALAPA,19.38026031,-99.0265927,CI-FEIDF/D/UI-2S/D/00250/10-2022,NEXTEL,AGRESION DIRECTA,ETIOLOGÍA A DETERMINAR,1,,,NO ESPECIFICADO,NO ESPECIFICADO,NO ESPECIFICADO,NEGOCIO (HOTEL),NO,NO,NO,TOMO CONOCIMIENTO LA FISCALÍA DE INVESTIGACIÓN ESTRATÉGICA EN EL DELITO DE FEMINICIDIO
98,C5/20221017/03134,98,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,17/10/2022,16:49:21,16:56:14,16:59:48,ZONA CENTRO,TLATELOLCO,C-1.8.11,CUAUHTÉMOC,19.455233,-99.140395,CI-FIEDH/2/UI-1C/D/00345/10-2022,LLAMADA DEL 911,SIN ESPECIFICAR,LESIÓN POR ARMA BLANCA,1,,,NO,NA,SI,VIA PUBLICA,NO,NO,NO,
99,C5/20221018/03028,99,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,18/10/2022,17:43:36,17:44:05,17:54:01,ZONA ORIENTE,TEPEPAN,O.4.2.5,XOCHIMILCO,19.2250781,-99.09593989,CI-FIEDH/2/UI-1C/D/00346/10-2022,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VEHÍCULO,SI,SI,NO,
100,C5/20221018/00103,100,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,18/10/2022,00:35:29,00:35:56,00:39:34,ZONA ORIENTE,ZAPOTITLA,O-3.2.7,TLÁHUAC,19.2250781,-99.09593989,CI-FITLH/UAT-TLH-1 UI-1S/D/02285/10-2022,LLAMADA DEL 911,LESIONES POR GOLPES,MUERTE POR POLITRAUMATIZADO,1,,,NO,NA,NO,VIA PUBLICA,NO,NO,NO,
101,C5/20221022/04823,101,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,22/10/2022,19:44:27,19:45:46,19:46:54,ZONA NORTE,CONGRESO,N-3.2.3,VENUSTIANO CARRANZA,19.43521,-99.121158,PENDIENTE,LLAMADA DEL 911,AGRESION DIRECTA,LESIÓN POR PROYECTIL DE ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
